City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Altos,BR,82.71,broken clouds,-5.0381,-42.46,Pousada Das Aguias
292,Eyl,SO,78.84,overcast clouds,7.9803,49.8164,Amiin Hotel
293,Mantua,IT,76.24,scattered clouds,45.1667,10.7833,Hotel la Favorita
295,Macau,MO,85.86,few clouds,22.2006,113.5461,Grand Emperor Hotel
300,Hay River,CA,75.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
303,Monrovia,LR,76.17,light rain,6.3005,-10.7969,Sunset Inn
305,Kudahuvadhoo,MV,80.94,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
306,Touros,BR,75.43,clear sky,-5.1989,-35.4608,INN NEW HORIZON
307,Kijang,KR,76.73,moderate rain,35.2442,129.2139,Samyang Beach Villa
320,Humaita,BR,77.36,broken clouds,-7.5061,-63.0208,Corrêa Hotel
322,Alcudia,ES,78.37,clear sky,39.8532,3.1214,Zafiro Tropic
327,Polson,US,89.49,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
329,Tuy Hoa,VN,78.67,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
330,Nanlong,CN,81.64,overcast clouds,31.3533,106.0631,Demei Hotel
332,Gigmoto,PH,83.8,scattered clouds,13.7796,124.39,Cj's Travellers Inn
334,Puerto El Triunfo,SV,88.72,broken clouds,13.2833,-88.55,Hotel Jardin
341,Dingle,PH,81.45,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
342,Pedernales,DO,82.76,broken clouds,18.0384,-71.744,Hotel Costa Marina
343,Timizart,DZ,75.04,clear sky,36.8,4.2667,yefssah restaurant
345,Wewak,PG,82.78,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
346,Dakar,SN,82.53,broken clouds,14.6937,-17.4441,Novotel Dakar
348,Qui Nhon,VN,76.91,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
349,Ozark,US,88.39,overcast clouds,37.0209,-93.206,Days Inn by Wyndham Ozark Springfield
355,Guilin,CN,78.91,clear sky,25.2819,110.2864,Grand 0773 Hotel
356,Dawlatabad,AF,76.06,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
358,Lufilufi,WS,87.58,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
359,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
360,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
362,Amli,IN,76.55,light rain,20.2833,73.0167,Hotel Soubhagya Inn
363,Karaton,ID,75.09,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
366,Sao Felix Do Xingu,BR,81.93,broken clouds,-6.6447,-51.995,Rio Xingu Camping
367,Biak,ID,75.4,overcast clouds,-0.9131,122.8766,Penginapan Kim
368,Rongcheng,CN,88.72,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
376,Daru,PG,79.14,broken clouds,-9.0763,143.2092,Daru Lodge
380,Luganville,VU,82.8,broken clouds,-15.5333,167.1667,The Espiritu Hotel
382,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
395,Maues,BR,79.97,broken clouds,-3.3836,-57.7186,Hotel Miramar
401,Bandar-E Lengeh,IR,89.58,broken clouds,26.5579,54.8807,کافی نت پارس
402,Juegang,CN,88.92,overcast clouds,32.3174,121.1855,Rudong Y Hotel
407,Ratnagiri,IN,78.87,moderate rain,16.9833,73.3,Hotel Landmark
409,Carutapera,BR,75.29,broken clouds,-1.195,-46.02,Lidera
410,Jennings,US,86.02,few clouds,38.7192,-90.2604,First Western Inn
411,Sabha,LY,80.02,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
412,Izumo,JP,76.95,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
417,Banes,CU,80.49,overcast clouds,20.9625,-75.7186,Hostal Iván y yailet
418,Tura,IN,76.15,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
422,Faanui,PF,78.87,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
425,Sabang,ID,82.24,overcast clouds,5.8933,95.3214,Hotel Citra
427,Intipuca,SV,87.75,broken clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
428,Pochutla,MX,81.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
435,Hami,CN,82.09,overcast clouds,42.8,93.45,Laoyutang Resort
436,Bardiyah,LY,75.81,clear sky,31.7561,25.0865,بورتو بردية
437,Naudero,PK,86.02,clear sky,27.6648,68.3622,Bukhari Apartment
441,Yinchuan,CN,78.06,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
443,Minudasht,IR,77.11,clear sky,37.2289,55.3747,هتل قصر
449,Pak Phanang,TH,82.42,overcast clouds,8.3511,100.202,Green Park Inn Hotel
450,Sur,OM,87.48,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
453,Banda Aceh,ID,79.95,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
456,Ibra,OM,79.97,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
461,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
463,Ipu,BR,78.17,broken clouds,-4.3222,-40.7108,Our hostel Corner
464,Kavali,IN,79.63,overcast clouds,14.9167,79.9833,Hotel Mourya Paradise
465,Bandarbeyla,SO,78.44,overcast clouds,9.4942,50.8122,JABIR HOTEL
467,Matara,LK,78.6,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
470,Palmer,US,77.41,thunderstorm,42.1584,-72.3287,Wedgewood Motel
474,Arcelia,MX,86.79,broken clouds,18.2833,-100.2667,C. GENERAL NAVOR MENDOZA
480,Honiara,SB,86.85,few clouds,-9.4333,159.95,Heritage Park Hotel
484,Belle Fourche,US,89.31,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
486,Coahuayana,MX,85.06,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
493,Sinnamary,GF,78.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
495,Mentougou,CN,79.74,clear sky,39.9392,116.0917,北京京西晨光饭店
497,Biltine,TD,85.55,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
498,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
500,Riyadh,SA,87.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
503,Savannah Bight,HN,82.44,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
506,Loa Janan,ID,76.14,broken clouds,-0.583,117.095,Kost bu jono
507,Ranot,TH,79.52,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
508,Palenque,MX,84.42,overcast clouds,17.5167,-91.9667,Hotel Chablis Palenque
509,Ozinki,RU,76.46,overcast clouds,51.1786,49.6769,Korolevskiy Dvor
512,Salinopolis,BR,76.44,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
513,Vega Baja,PR,84.15,few clouds,18.4444,-66.3877,Buena vista
518,Porbandar,IN,81.32,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
521,Ambagarh Chauki,IN,75.38,heavy intensity rain,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
522,Nong Khai,TH,78.3,overcast clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
527,San Pedro,PH,81.27,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
528,Vila Do Maio,CV,77.79,clear sky,15.1333,-23.2167,Hotel Marilu
530,Pemangkat,ID,77.94,light rain,1.1667,108.9667,Ramah Kost KITA
537,Kindu,CD,75.81,broken clouds,-2.95,25.95,Résidence Okanda
538,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
540,La Romana,DO,86.36,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
543,Lorengau,PG,84.51,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
544,Puerto Escondido,MX,82.36,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
546,Awbari,LY,82.4,clear sky,26.5921,12.7805,فندق أوباري
552,Gushikawa,JP,85.62,clear sky,26.3544,127.8686,Kirari Guest House
559,Ambon,ID,77.23,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
566,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
572,Darapidap,PH,79.12,overcast clouds,17.2131,120.4114,Candon Beach Resort
575,Nador,MA,77.25,overcast clouds,35.174,-2.9287,Hôtel La Giralda
576,Natal,BR,77.22,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
